smiles,pEC50_rM1,pEC50_hM1,pEC50_hM2,pEC50_hM4,pEC50_rM4,pEC50_hM5,pKi_rM1,pKi_hM2,pKi_hM3,pIC50_hM2,pIC50_rM2,pIC50_hM3,pIC50_hM4,pIC50_hM5,pKi_hM4,pKi_hM5,pIC50_hM1,pIC50_rM1,pKi_hM1,pKi_rM2,pKi_rM3,pIC50_AChE_HouseMouse,pIC50_AChE_human,pIC50_AChE_Cow,pIC50_AChE_eel,pIC50_AChE_BrownRat,pIC50_BChE_human,pKi_AChE_eel,pKi_AChE_human,pKi_BChE_human
COc1ccc(CN2C3C4C5CC6C7C5C3C7C2(O)C46)cc1,,,,,,,,5.90378541465359,5.91186391129945,,,,,,6.18111458540599,5.23559967704361,,,,,,,,,,,,,,
C[N@+]12CC[C@H](CC1)[C@H](C2)OC(=O)Nc3ccc(F)cc3c4ccccc4.[O-]C(=O)C(F)(F)F,,,,,,,,,,,,,,,,,,,9.1249387366083,,,,,,,,,,,
COc1cc2CC(CCCCN[C@@H]3CCCC4=C3C=CC(=O)N4)C(=O)c2cc1OC,,,,,,,,,,,,,,,,,,,,,,,,,,6.27572413039921,,,,
CC(=CCC\C(=C\Cc1c(O)cc(O)c(CC=C(C)C)c1c2oc3cc(O)ccc3c2)\C)C,,,,,,,,,,,,,,,,,,,,,,,,,5.96657624451305,,,,,
O\N=C\C(=O)c1cccc(OCC2CCN(Cc3ccccc3)CC2)n1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.70092873997259,
O[C@@](C(=O)O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)(c4ccccc4)c5cccs5,,,,,,,,,,9.50863830616573,,9.31875876262441,,,,,9.42021640338319,,,,,,,,,,,,,
CCOC(=O)[C@H](CCC(=O)NCCC1CCN(Cc2ccccc2)CC1)NC(=O)c3c[nH]c4ccccc34,,,,,,,,,,,,,,,,,,,,,,,5.72124639904717,,,,,,,
COc1cc(\C=C\C(=O)NCCCCCCNc2c3CCCCc3nc4ccccc24)ccc1O,,,,,,,,,,,,,,,,,,,,,,,7.92081875395237,,7.89619627904404,,7.58004425151024,,,
Nc1c2CCCCc2nc3OC4=C(C(c5ccc(Cl)cc5)c13)C(=O)Oc6ccccc46,,,,,,,,,,,,,,,,,,,,,,,,,7.03151705144607,,,,,
C[N+]12CCc3ccccc3C1c4ccc(OCCCCOc5ccc6C7c8ccccc8CC[N+]7(C)CCc6c5)cc4CC2,,,,,,,,,,,,,,,,,,,,,,,,,6.4089353929735,,7.29242982390206,,,
Cc1c(NC2CC2)nc(nc1N3CCCCCC3)C4CCCC4,,,,,,,,,7.10237290870956,,,,,,,,,,,,,,,,,,,,,
CN1CC[C@]2(C)[C@H]1N(C)c3ccc(OC(=O)NCCCCCCCCCN4CCOCC4)cc23,,,,,,,,,,,,,,,,,,,,,,,7.22184874961636,,,,,,,
CCCN(CCCl)CCOC(=O)C(O)(c1ccccc1)c2ccccc2,,,,,,,8.14996674231023,,,,,,,,,,,,,8.37986394502624,8.08990945440593,,,,,,,,,
